datasetId,lotName,zone,bayNumber,sensorId,maxParkingMinutes,disabilityPermitRequired,occupied,confidence,statusSource,lastUpdated,latitude,longitude
1,P1-North,A,001,UOW-P1-A-001,120,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40690,150.87980
2,P1-North,A,002,UOW-P1-A-002,120,false,true,0.98,dataset,2026-05-18T08:00:00Z,-34.40691,150.87982
3,P1-North,A,003,UOW-P1-A-003,120,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40692,150.87984
4,P1-North,A,004,UOW-P1-A-004,120,true,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40693,150.87986
5,P1-North,A,005,UOW-P1-A-005,120,false,true,0.95,dataset,2026-05-18T08:00:00Z,-34.40694,150.87988
6,P1-North,B,001,UOW-P1-B-001,240,false,false,0.96,dataset,2026-05-18T08:00:00Z,-34.40710,150.88000
7,P1-North,B,002,UOW-P1-B-002,240,false,true,0.94,dataset,2026-05-18T08:00:00Z,-34.40711,150.88002
8,P1-North,B,003,UOW-P1-B-003,240,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40712,150.88004
9,P1-North,B,004,UOW-P1-B-004,240,true,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40713,150.88006
10,P1-North,B,005,UOW-P1-B-005,240,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40714,150.88008
11,P2-Library,C,001,UOW-P2-C-001,180,false,true,0.98,dataset,2026-05-18T08:00:00Z,-34.40580,150.87870
12,P2-Library,C,002,UOW-P2-C-002,180,false,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40581,150.87872
13,P2-Library,C,003,UOW-P2-C-003,180,true,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40582,150.87874
14,P2-Library,C,004,UOW-P2-C-004,180,false,false,0.95,dataset,2026-05-18T08:00:00Z,-34.40583,150.87876
15,P2-Library,C,005,UOW-P2-C-005,180,false,true,0.94,dataset,2026-05-18T08:00:00Z,-34.40584,150.87878
16,P2-Library,D,001,UOW-P2-D-001,180,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40595,150.87890
17,P2-Library,D,002,UOW-P2-D-002,180,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40596,150.87892
18,P2-Library,D,003,UOW-P2-D-003,180,true,true,0.92,dataset,2026-05-18T08:00:00Z,-34.40597,150.87894
19,P2-Library,D,004,UOW-P2-D-004,180,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40598,150.87896
20,P2-Library,D,005,UOW-P2-D-005,180,false,true,0.96,dataset,2026-05-18T08:00:00Z,-34.40599,150.87898
21,P3-South,E,001,UOW-P3-E-001,360,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40820,150.88100
22,P3-South,E,002,UOW-P3-E-002,360,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40821,150.88102
23,P3-South,E,003,UOW-P3-E-003,360,false,true,0.94,dataset,2026-05-18T08:00:00Z,-34.40822,150.88104
24,P3-South,E,004,UOW-P3-E-004,360,true,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40823,150.88106
25,P3-South,E,005,UOW-P3-E-005,360,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40824,150.88108
26,P3-South,F,001,UOW-P3-F-001,360,false,true,0.93,dataset,2026-05-18T08:00:00Z,-34.40840,150.88120
27,P3-South,F,002,UOW-P3-F-002,360,false,false,0.98,dataset,2026-05-18T08:00:00Z,-34.40841,150.88122
28,P3-South,F,003,UOW-P3-F-003,360,true,true,0.95,dataset,2026-05-18T08:00:00Z,-34.40842,150.88124
29,P3-South,F,004,UOW-P3-F-004,360,false,false,0.99,dataset,2026-05-18T08:00:00Z,-34.40843,150.88126
30,P3-South,F,005,UOW-P3-F-005,360,false,false,0.97,dataset,2026-05-18T08:00:00Z,-34.40844,150.88128
