sequenceNumber,sensorId,occupied,confidence,source,observedAt
1,UOW-P1-A-001,true,0.98,simulated-loop,2026-05-18T08:05:00Z
2,UOW-P1-A-002,false,0.99,simulated-loop,2026-05-18T08:07:00Z
3,UOW-P1-A-004,true,0.96,simulated-loop,2026-05-18T08:12:00Z
4,UOW-P2-C-004,true,0.97,simulated-loop,2026-05-18T08:15:00Z
5,UOW-P3-E-003,false,0.95,simulated-loop,2026-05-18T08:18:00Z
6,UOW-P1-B-001,true,0.98,simulated-loop,2026-05-18T08:22:00Z
7,UOW-P1-B-002,false,0.96,simulated-loop,2026-05-18T08:25:00Z
8,UOW-P2-D-001,true,0.99,simulated-loop,2026-05-18T08:31:00Z
9,UOW-P2-D-003,false,0.94,simulated-loop,2026-05-18T08:35:00Z
10,UOW-P3-F-002,true,0.97,simulated-loop,2026-05-18T08:40:00Z
11,UOW-P3-F-004,true,0.98,simulated-loop,2026-05-18T08:45:00Z
12,UOW-P2-C-001,false,0.95,simulated-loop,2026-05-18T08:52:00Z
13,UOW-P2-C-002,false,0.96,simulated-loop,2026-05-18T08:57:00Z
14,UOW-P1-A-005,false,0.94,simulated-loop,2026-05-18T09:02:00Z
15,UOW-P3-E-001,true,0.99,simulated-loop,2026-05-18T09:08:00Z
16,UOW-P3-E-004,true,0.97,simulated-loop,2026-05-18T09:12:00Z
17,UOW-P2-D-005,false,0.95,simulated-loop,2026-05-18T09:18:00Z
18,UOW-P1-B-005,true,0.98,simulated-loop,2026-05-18T09:22:00Z
19,UOW-P2-C-005,false,0.96,simulated-loop,2026-05-18T09:30:00Z
20,UOW-P3-F-001,false,0.94,simulated-loop,2026-05-18T09:36:00Z
21,UOW-P1-A-003,true,0.97,simulated-loop,2026-05-18T09:44:00Z
22,UOW-P1-A-004,false,0.98,simulated-loop,2026-05-18T09:51:00Z
23,UOW-P2-D-004,true,0.99,simulated-loop,2026-05-18T10:02:00Z
24,UOW-P3-E-005,true,0.95,simulated-loop,2026-05-18T10:10:00Z
25,UOW-P3-F-003,false,0.97,simulated-loop,2026-05-18T10:17:00Z
26,UOW-P1-B-003,true,0.98,simulated-loop,2026-05-18T10:28:00Z
27,UOW-P1-B-004,false,0.94,simulated-loop,2026-05-18T10:35:00Z
28,UOW-P2-C-003,true,0.99,simulated-loop,2026-05-18T10:41:00Z
29,UOW-P3-E-002,true,0.96,simulated-loop,2026-05-18T10:50:00Z
30,UOW-P1-A-001,false,0.98,simulated-loop,2026-05-18T11:00:00Z
31,UOW-P2-D-002,true,0.97,simulated-loop,2026-05-18T11:12:00Z
32,UOW-P3-F-005,true,0.95,simulated-loop,2026-05-18T11:25:00Z
